2026/09/15 15:53:12.026, 0 %, 70.93 W, 27063 MiB
2026/09/15 15:53:13.029, 2 %, 68.48 W, 27063 MiB
2026/09/15 15:53:14.030, 92 %, 100.22 W, 27095 MiB
2026/09/15 15:53:15.031, 96 %, 348.85 W, 27220 MiB
2026/09/15 15:53:16.032, 2 %, 155.28 W, 27072 MiB
2026/09/15 15:53:17.033, 3 %, 69.00 W, 27047 MiB
2026/09/15 15:53:18.034, 3 %, 69.17 W, 27047 MiB
2026/09/15 15:53:19.034, 1 %, 68.65 W, 27060 MiB
2026/09/15 15:53:20.035, 1 %, 68.29 W, 27053 MiB
2026/09/15 15:53:21.035, 1 %, 68.26 W, 27053 MiB
2026/09/15 15:53:22.036, 98 %, 319.19 W, 27085 MiB
2026/09/15 15:53:23.036, 98 %, 358.86 W, 27233 MiB
2026/09/15 15:53:24.037, 96 %, 357.26 W, 27183 MiB
2026/09/15 15:53:25.039, 98 %, 359.17 W, 27215 MiB
2026/09/15 15:53:26.039, 97 %, 314.82 W, 27183 MiB
2026/09/15 15:53:27.041, 99 %, 284.93 W, 27183 MiB
2026/09/15 15:53:28.041, 99 %, 287.01 W, 27183 MiB
2026/09/15 15:53:29.042, 98 %, 281.22 W, 27212 MiB
2026/09/15 15:53:30.042, 3 %, 127.06 W, 27064 MiB
2026/09/15 15:53:31.043, 2 %, 69.32 W, 27064 MiB
2026/09/15 15:53:32.044, 2 %, 69.46 W, 27064 MiB
2026/09/15 15:53:33.044, 1 %, 68.59 W, 27064 MiB
2026/09/15 15:53:34.045, 1 %, 67.88 W, 27038 MiB
2026/09/15 15:53:35.045, 5 %, 69.14 W, 27050 MiB
2026/09/15 15:53:36.045, 2 %, 69.19 W, 27055 MiB
2026/09/15 15:53:37.046, 1 %, 68.37 W, 27055 MiB
2026/09/15 15:53:38.046, 5 %, 68.63 W, 27061 MiB
2026/09/15 15:53:39.046, 3 %, 69.07 W, 26952 MiB
2026/09/15 15:53:40.053, 5 %, 68.70 W, 26919 MiB
2026/09/15 15:53:41.054, 6 %, 69.32 W, 26925 MiB
2026/09/15 15:53:42.054, 5 %, 69.46 W, 26927 MiB
2026/09/15 15:53:43.055, 17 %, 71.30 W, 27201 MiB
2026/09/15 15:53:44.056, 16 %, 73.66 W, 27193 MiB
2026/09/15 15:53:45.057, 16 %, 73.22 W, 27175 MiB
2026/09/15 15:53:46.057, 9 %, 71.74 W, 27189 MiB
2026/09/15 15:53:47.059, 11 %, 71.81 W, 27350 MiB
2026/09/15 15:53:48.059, 11 %, 71.52 W, 27309 MiB
2026/09/15 15:53:49.060, 12 %, 71.51 W, 27310 MiB
2026/09/15 15:53:50.060, 11 %, 71.47 W, 27289 MiB
2026/09/15 15:53:51.061, 11 %, 71.38 W, 27280 MiB
2026/09/15 15:53:52.061, 12 %, 71.18 W, 27108 MiB
2026/09/15 15:53:53.062, 15 %, 71.71 W, 27072 MiB
2026/09/15 15:53:54.063, 12 %, 70.92 W, 27070 MiB
2026/09/15 15:53:55.063, 14 %, 71.05 W, 27086 MiB
2026/09/15 15:53:56.064, 12 %, 71.64 W, 27088 MiB
2026/09/15 15:53:57.064, 15 %, 71.26 W, 27083 MiB
2026/09/15 15:53:58.064, 5 %, 70.10 W, 27012 MiB
2026/09/15 15:53:59.065, 5 %, 69.25 W, 27012 MiB
2026/09/15 15:54:00.066, 3 %, 68.63 W, 27010 MiB
