2026/09/15 15:24:36.338, 1 %, 67.08 W, 26746 MiB
2026/09/15 15:24:37.341, 1 %, 67.49 W, 26744 MiB
2026/09/15 15:24:38.342, 0 %, 67.11 W, 26744 MiB
2026/09/15 15:24:39.343, 97 %, 261.90 W, 26775 MiB
2026/09/15 15:24:40.343, 0 %, 231.68 W, 26743 MiB
2026/09/15 15:24:41.344, 1 %, 67.79 W, 26743 MiB
2026/09/15 15:24:42.344, 1 %, 67.48 W, 26743 MiB
2026/09/15 15:24:43.345, 1 %, 67.20 W, 26743 MiB
2026/09/15 15:24:44.345, 2 %, 67.06 W, 26744 MiB
2026/09/15 15:24:45.345, 3 %, 67.43 W, 26744 MiB
2026/09/15 15:24:46.346, 98 %, 221.71 W, 26778 MiB
2026/09/15 15:24:47.347, 98 %, 346.50 W, 26926 MiB
2026/09/15 15:24:48.348, 98 %, 348.93 W, 26894 MiB
2026/09/15 15:24:49.348, 98 %, 336.92 W, 27070 MiB
2026/09/15 15:24:50.349, 96 %, 338.33 W, 27186 MiB
2026/09/15 15:24:51.350, 99 %, 280.15 W, 26894 MiB
2026/09/15 15:24:52.350, 99 %, 282.93 W, 26894 MiB
2026/09/15 15:24:53.351, 99 %, 283.51 W, 26894 MiB
2026/09/15 15:24:54.352, 1 %, 206.62 W, 26746 MiB
2026/09/15 15:24:55.352, 1 %, 67.93 W, 26745 MiB
2026/09/15 15:24:56.353, 2 %, 67.62 W, 26745 MiB
2026/09/15 15:24:57.354, 1 %, 67.63 W, 26745 MiB
2026/09/15 15:24:58.354, 2 %, 67.08 W, 26745 MiB
2026/09/15 15:24:59.355, 1 %, 67.00 W, 26745 MiB
2026/09/15 15:25:00.355, 0 %, 66.70 W, 26745 MiB
2026/09/15 15:25:01.355, 0 %, 66.60 W, 26749 MiB
2026/09/15 15:25:02.356, 1 %, 66.63 W, 26748 MiB
2026/09/15 15:25:03.356, 0 %, 66.91 W, 26748 MiB
2026/09/15 15:25:04.359, 1 %, 66.69 W, 26748 MiB
2026/09/15 15:25:05.359, 1 %, 67.15 W, 26748 MiB
2026/09/15 15:25:06.360, 1 %, 67.20 W, 26748 MiB
2026/09/15 15:25:07.361, 1 %, 67.13 W, 26748 MiB
2026/09/15 15:25:08.361, 1 %, 66.90 W, 26748 MiB
2026/09/15 15:25:09.362, 0 %, 66.77 W, 26748 MiB
2026/09/15 15:25:10.363, 0 %, 66.74 W, 26748 MiB
2026/09/15 15:25:11.363, 1 %, 66.77 W, 26748 MiB
2026/09/15 15:25:12.363, 0 %, 66.88 W, 26748 MiB
2026/09/15 15:25:13.364, 0 %, 67.02 W, 26748 MiB
2026/09/15 15:25:14.364, 0 %, 66.97 W, 26748 MiB
2026/09/15 15:25:15.364, 0 %, 66.79 W, 26748 MiB
2026/09/15 15:25:16.365, 0 %, 67.00 W, 26748 MiB
2026/09/15 15:25:17.365, 0 %, 67.21 W, 26748 MiB
2026/09/15 15:25:18.366, 0 %, 67.06 W, 26748 MiB
2026/09/15 15:25:19.367, 1 %, 67.36 W, 26748 MiB
