2026/09/13 20:04:51.830, 2 %, 0 %, 69.63 W, 2010 MHz, 14001 MHz, 44
2026/09/13 20:04:52.852, 2 %, 0 %, 69.36 W, 2010 MHz, 14001 MHz, 44
2026/09/13 20:04:53.871, 3 %, 0 %, 69.07 W, 2010 MHz, 14001 MHz, 44
2026/09/13 20:04:54.878, 96 %, 32 %, 343.66 W, 1987 MHz, 14001 MHz, 53
2026/09/13 20:04:55.884, 2 %, 0 %, 196.06 W, 2010 MHz, 14001 MHz, 45
2026/09/13 20:04:56.902, 3 %, 0 %, 69.20 W, 2010 MHz, 14001 MHz, 44
2026/09/13 20:04:57.907, 3 %, 0 %, 68.96 W, 2010 MHz, 14001 MHz, 44
2026/09/13 20:04:58.913, 3 %, 1 %, 69.10 W, 2010 MHz, 14001 MHz, 44
2026/09/13 20:04:59.919, 4 %, 1 %, 69.02 W, 2010 MHz, 14001 MHz, 44
2026/09/13 20:05:00.930, 3 %, 0 %, 68.80 W, 2010 MHz, 14001 MHz, 43
2026/09/13 20:05:01.940, 97 %, 24 %, 215.82 W, 1980 MHz, 14001 MHz, 51
2026/09/13 20:05:02.946, 97 %, 30 %, 356.88 W, 1980 MHz, 14001 MHz, 52
2026/09/13 20:05:03.950, 97 %, 31 %, 356.27 W, 1980 MHz, 14001 MHz, 52
2026/09/13 20:05:04.958, 99 %, 61 %, 339.54 W, 2002 MHz, 14001 MHz, 49
2026/09/13 20:05:05.967, 99 %, 62 %, 279.77 W, 2002 MHz, 14001 MHz, 49
2026/09/13 20:05:06.975, 98 %, 61 %, 303.17 W, 1995 MHz, 14001 MHz, 50
2026/09/13 20:05:07.983, 99 %, 60 %, 313.62 W, 1995 MHz, 14001 MHz, 50
2026/09/13 20:05:08.991, 2 %, 0 %, 247.49 W, 2010 MHz, 14001 MHz, 46
2026/09/13 20:05:09.995, 3 %, 0 %, 69.61 W, 2010 MHz, 14001 MHz, 45
2026/09/13 20:05:11.001, 3 %, 1 %, 69.32 W, 2010 MHz, 14001 MHz, 44
2026/09/13 20:05:12.008, 3 %, 0 %, 69.11 W, 2010 MHz, 14001 MHz, 44
2026/09/13 20:05:13.015, 3 %, 1 %, 69.03 W, 2010 MHz, 14001 MHz, 44
2026/09/13 20:05:14.020, 3 %, 1 %, 68.62 W, 2010 MHz, 14001 MHz, 44
2026/09/13 20:05:15.027, 7 %, 1 %, 69.25 W, 2010 MHz, 14001 MHz, 44
