2026/09/13 20:12:04.786, 7 %, 1 %, 71.34 W, 2010 MHz, 14001 MHz, 44
2026/09/13 20:12:05.804, 7 %, 0 %, 70.98 W, 2010 MHz, 14001 MHz, 44
2026/09/13 20:12:06.809, 7 %, 0 %, 70.62 W, 2010 MHz, 14001 MHz, 46
2026/09/13 20:12:07.813, 99 %, 22 %, 323.40 W, 1980 MHz, 14001 MHz, 51
2026/09/13 20:12:08.831, 7 %, 1 %, 225.41 W, 2010 MHz, 14001 MHz, 44
2026/09/13 20:12:09.850, 7 %, 1 %, 71.51 W, 2010 MHz, 14001 MHz, 44
2026/09/13 20:12:10.867, 7 %, 0 %, 70.86 W, 2010 MHz, 14001 MHz, 44
2026/09/13 20:12:11.887, 6 %, 0 %, 70.83 W, 2010 MHz, 14001 MHz, 43
2026/09/13 20:12:12.890, 7 %, 0 %, 70.64 W, 2010 MHz, 14001 MHz, 43
2026/09/13 20:12:13.909, 7 %, 0 %, 70.45 W, 2010 MHz, 14001 MHz, 43
2026/09/13 20:12:14.914, 98 %, 24 %, 173.81 W, 1980 MHz, 14001 MHz, 50
2026/09/13 20:12:15.918, 97 %, 29 %, 332.75 W, 1980 MHz, 14001 MHz, 50
2026/09/13 20:12:16.924, 99 %, 30 %, 332.88 W, 1987 MHz, 14001 MHz, 49
2026/09/13 20:12:17.929, 98 %, 27 %, 323.38 W, 1980 MHz, 14001 MHz, 50
2026/09/13 20:12:18.933, 7 %, 1 %, 250.89 W, 2010 MHz, 14001 MHz, 45
2026/09/13 20:12:19.936, 7 %, 0 %, 71.14 W, 2010 MHz, 14001 MHz, 44
2026/09/13 20:12:20.941, 7 %, 1 %, 70.79 W, 2010 MHz, 14001 MHz, 44
2026/09/13 20:12:21.943, 7 %, 0 %, 70.53 W, 2010 MHz, 14001 MHz, 43
2026/09/13 20:12:22.947, 7 %, 0 %, 70.50 W, 2010 MHz, 14001 MHz, 43
2026/09/13 20:12:23.955, 7 %, 0 %, 70.57 W, 2010 MHz, 14001 MHz, 43
2026/09/13 20:12:24.959, 6 %, 0 %, 70.57 W, 2010 MHz, 14001 MHz, 43
2026/09/13 20:12:25.976, 7 %, 1 %, 70.87 W, 2010 MHz, 14001 MHz, 43
2026/09/13 20:12:26.978, 7 %, 0 %, 70.43 W, 2010 MHz, 14001 MHz, 43
2026/09/13 20:12:27.982, 7 %, 1 %, 70.39 W, 2010 MHz, 14001 MHz, 42
2026/09/13 20:12:28.985, 7 %, 0 %, 70.31 W, 2010 MHz, 14001 MHz, 42
2026/09/13 20:12:29.988, 9 %, 1 %, 70.51 W, 2010 MHz, 14001 MHz, 42
2026/09/13 20:12:30.991, 7 %, 1 %, 70.77 W, 2010 MHz, 14001 MHz, 42
2026/09/13 20:12:31.996, 7 %, 1 %, 70.49 W, 2010 MHz, 14001 MHz, 42
2026/09/13 20:12:33.000, 7 %, 1 %, 70.27 W, 2010 MHz, 14001 MHz, 42
2026/09/13 20:12:34.004, 7 %, 1 %, 70.57 W, 2010 MHz, 14001 MHz, 42
2026/09/13 20:12:35.009, 7 %, 1 %, 70.34 W, 2010 MHz, 14001 MHz, 42
2026/09/13 20:12:36.014, 9 %, 1 %, 70.61 W, 2010 MHz, 14001 MHz, 42
2026/09/13 20:12:37.016, 7 %, 1 %, 70.69 W, 2010 MHz, 14001 MHz, 41
2026/09/13 20:12:38.025, 7 %, 1 %, 70.72 W, 2010 MHz, 14001 MHz, 41
2026/09/13 20:12:39.028, 8 %, 1 %, 70.74 W, 2010 MHz, 14001 MHz, 41
2026/09/13 20:12:40.034, 7 %, 1 %, 70.26 W, 2010 MHz, 14001 MHz, 41
2026/09/13 20:12:41.039, 7 %, 1 %, 70.44 W, 2010 MHz, 14001 MHz, 41
2026/09/13 20:12:42.047, 5 %, 1 %, 70.83 W, 2010 MHz, 14001 MHz, 41
2026/09/13 20:12:43.053, 1 %, 0 %, 67.89 W, 2010 MHz, 14001 MHz, 41
2026/09/13 20:12:44.061, 5 %, 1 %, 67.75 W, 2010 MHz, 14001 MHz, 41
2026/09/13 20:12:45.066, 2 %, 1 %, 67.96 W, 2010 MHz, 14001 MHz, 41
2026/09/13 20:12:46.072, 1 %, 1 %, 67.39 W, 2010 MHz, 14001 MHz, 41
2026/09/13 20:12:47.076, 2 %, 1 %, 67.35 W, 2010 MHz, 14001 MHz, 41
2026/09/13 20:12:48.081, 1 %, 1 %, 67.06 W, 2010 MHz, 14001 MHz, 40
2026/09/13 20:12:49.083, 1 %, 1 %, 67.37 W, 2010 MHz, 14001 MHz, 40
2026/09/13 20:12:50.086, 1 %, 1 %, 67.24 W, 2010 MHz, 14001 MHz, 40
2026/09/13 20:12:51.091, 2 %, 1 %, 67.26 W, 2010 MHz, 14001 MHz, 40
2026/09/13 20:12:52.093, 1 %, 1 %, 67.02 W, 2010 MHz, 14001 MHz, 40
2026/09/13 20:12:53.095, 1 %, 1 %, 67.18 W, 2010 MHz, 14001 MHz, 40
2026/09/13 20:12:54.099, 1 %, 1 %, 67.01 W, 2010 MHz, 14001 MHz, 40
2026/09/13 20:12:55.103, 1 %, 1 %, 67.10 W, 2010 MHz, 14001 MHz, 40
2026/09/13 20:12:56.106, 1 %, 1 %, 67.21 W, 2010 MHz, 14001 MHz, 40
2026/09/13 20:12:57.112, 1 %, 1 %, 67.38 W, 2010 MHz, 14001 MHz, 40
2026/09/13 20:12:58.116, 1 %, 1 %, 66.73 W, 2010 MHz, 14001 MHz, 40
2026/09/13 20:12:59.120, 2 %, 1 %, 66.75 W, 2010 MHz, 14001 MHz, 40
2026/09/13 20:13:00.124, 1 %, 1 %, 66.50 W, 2010 MHz, 14001 MHz, 40
2026/09/13 20:13:01.129, 2 %, 1 %, 66.67 W, 2010 MHz, 14001 MHz, 40
2026/09/13 20:13:02.134, 1 %, 1 %, 66.69 W, 2010 MHz, 14001 MHz, 40
2026/09/13 20:13:03.143, 2 %, 1 %, 66.59 W, 2010 MHz, 14001 MHz, 40
2026/09/13 20:13:04.175, 4 %, 0 %, 67.21 W, 2010 MHz, 14001 MHz, 40
2026/09/13 20:13:05.188, 4 %, 1 %, 67.11 W, 2010 MHz, 14001 MHz, 39
2026/09/13 20:13:06.193, 1 %, 0 %, 67.22 W, 2010 MHz, 14001 MHz, 39
2026/09/13 20:13:07.200, 1 %, 1 %, 66.22 W, 2010 MHz, 14001 MHz, 39
2026/09/13 20:13:08.205, 1 %, 0 %, 66.46 W, 2010 MHz, 14001 MHz, 39
2026/09/13 20:13:09.221, 2 %, 1 %, 66.86 W, 2010 MHz, 14001 MHz, 39
2026/09/13 20:13:10.226, 1 %, 0 %, 66.76 W, 2010 MHz, 14001 MHz, 39
2026/09/13 20:13:11.230, 1 %, 0 %, 66.65 W, 2010 MHz, 14001 MHz, 39
2026/09/13 20:13:12.235, 1 %, 0 %, 66.65 W, 2010 MHz, 14001 MHz, 39
2026/09/13 20:13:13.241, 1 %, 0 %, 66.62 W, 2010 MHz, 14001 MHz, 39
2026/09/13 20:13:14.247, 1 %, 0 %, 66.73 W, 2010 MHz, 14001 MHz, 39
2026/09/13 20:13:15.251, 2 %, 1 %, 67.26 W, 2010 MHz, 14001 MHz, 39
2026/09/13 20:13:16.255, 1 %, 1 %, 66.93 W, 2010 MHz, 14001 MHz, 39
2026/09/13 20:13:17.261, 3 %, 0 %, 66.74 W, 2010 MHz, 14001 MHz, 39
2026/09/13 20:13:18.266, 2 %, 0 %, 66.56 W, 2010 MHz, 14001 MHz, 39
2026/09/13 20:13:19.271, 1 %, 0 %, 66.49 W, 2010 MHz, 14001 MHz, 39
2026/09/13 20:13:20.287, 1 %, 0 %, 66.59 W, 2010 MHz, 14001 MHz, 39
2026/09/13 20:13:21.289, 1 %, 0 %, 66.41 W, 2010 MHz, 14001 MHz, 39
