2026/09/13 19:48:11.464, 1 %, 0 %, 66.66 W, 2010 MHz, 13801 MHz, 40
2026/09/13 19:48:12.465, 1 %, 0 %, 66.85 W, 2010 MHz, 13801 MHz, 40
2026/09/13 19:48:13.470, 2 %, 0 %, 66.63 W, 2010 MHz, 13801 MHz, 40
2026/09/13 19:48:14.476, 1 %, 0 %, 66.78 W, 2010 MHz, 13801 MHz, 40
2026/09/13 19:48:15.478, 1 %, 0 %, 66.43 W, 2010 MHz, 13801 MHz, 40
2026/09/13 19:48:16.481, 5 %, 1 %, 67.03 W, 2010 MHz, 13801 MHz, 40
2026/09/13 19:48:17.484, 1 %, 0 %, 66.32 W, 2010 MHz, 13801 MHz, 40
2026/09/13 19:48:18.489, 1 %, 0 %, 68.42 W, 2010 MHz, 13801 MHz, 40
2026/09/13 19:48:19.494, 1 %, 0 %, 66.79 W, 2010 MHz, 13801 MHz, 40
2026/09/13 19:48:20.499, 1 %, 0 %, 66.64 W, 2010 MHz, 13801 MHz, 40
2026/09/13 19:48:21.502, 1 %, 0 %, 66.59 W, 2010 MHz, 13801 MHz, 40
2026/09/13 19:48:22.505, 1 %, 0 %, 67.23 W, 2010 MHz, 13801 MHz, 40
2026/09/13 19:48:23.506, 1 %, 0 %, 67.52 W, 2010 MHz, 13801 MHz, 40
2026/09/13 19:48:24.510, 1 %, 0 %, 66.67 W, 2010 MHz, 13801 MHz, 40
2026/09/13 19:48:25.526, 3 %, 1 %, 67.63 W, 2010 MHz, 13801 MHz, 40
2026/09/13 19:48:26.534, 2 %, 0 %, 66.89 W, 2010 MHz, 13801 MHz, 40
2026/09/13 19:48:27.537, 1 %, 0 %, 66.48 W, 2010 MHz, 13801 MHz, 40
2026/09/13 19:48:28.543, 1 %, 0 %, 65.55 W, 2010 MHz, 13801 MHz, 40
2026/09/13 19:48:29.547, 1 %, 0 %, 65.79 W, 2010 MHz, 13801 MHz, 40
2026/09/13 19:48:30.552, 1 %, 0 %, 66.01 W, 2010 MHz, 13801 MHz, 39
2026/09/13 19:48:31.557, 1 %, 0 %, 66.10 W, 2010 MHz, 13801 MHz, 39
2026/09/13 19:48:32.560, 1 %, 0 %, 66.34 W, 2010 MHz, 13801 MHz, 39
2026/09/13 19:48:33.568, 2 %, 0 %, 66.35 W, 2010 MHz, 13801 MHz, 39
2026/09/13 19:48:34.576, 1 %, 1 %, 67.00 W, 2010 MHz, 13801 MHz, 39
2026/09/13 19:48:35.593, 1 %, 0 %, 67.50 W, 2010 MHz, 13801 MHz, 39
2026/09/13 19:48:36.596, 6 %, 0 %, 66.85 W, 2010 MHz, 13801 MHz, 39
2026/09/13 19:48:37.612, 1 %, 1 %, 66.71 W, 2010 MHz, 13801 MHz, 39
2026/09/13 19:48:38.618, 98 %, 31 %, 318.54 W, 1980 MHz, 13801 MHz, 48
2026/09/13 19:48:39.620, 97 %, 32 %, 356.07 W, 1987 MHz, 13801 MHz, 48
2026/09/13 19:48:40.623, 97 %, 30 %, 323.17 W, 1980 MHz, 13801 MHz, 47
2026/09/13 19:48:41.627, 98 %, 27 %, 346.41 W, 1987 MHz, 13801 MHz, 49
2026/09/13 19:48:42.630, 97 %, 25 %, 337.02 W, 1987 MHz, 13801 MHz, 49
2026/09/13 19:48:43.633, 98 %, 24 %, 316.77 W, 1987 MHz, 13801 MHz, 49
2026/09/13 19:48:44.638, 99 %, 16 %, 317.76 W, 1995 MHz, 13801 MHz, 49
2026/09/13 19:48:45.640, 98 %, 22 %, 318.01 W, 1995 MHz, 13801 MHz, 50
2026/09/13 19:48:46.644, 99 %, 47 %, 296.10 W, 2010 MHz, 13801 MHz, 47
2026/09/13 19:48:47.648, 99 %, 54 %, 255.01 W, 2002 MHz, 13801 MHz, 46
2026/09/13 19:48:48.652, 99 %, 54 %, 249.25 W, 2002 MHz, 13801 MHz, 46
2026/09/13 19:48:49.660, 99 %, 54 %, 246.26 W, 2002 MHz, 13801 MHz, 46
2026/09/13 19:48:50.676, 99 %, 54 %, 250.00 W, 2002 MHz, 13801 MHz, 46
2026/09/13 19:48:51.678, 99 %, 54 %, 250.30 W, 2002 MHz, 13801 MHz, 46
2026/09/13 19:48:52.695, 98 %, 54 %, 249.74 W, 2002 MHz, 13801 MHz, 47
2026/09/13 19:48:53.697, 99 %, 54 %, 250.14 W, 2002 MHz, 13801 MHz, 47
2026/09/13 19:48:54.702, 98 %, 27 %, 339.56 W, 1987 MHz, 13801 MHz, 51
2026/09/13 19:48:55.705, 99 %, 25 %, 342.22 W, 1987 MHz, 13801 MHz, 52
2026/09/13 19:48:56.707, 98 %, 21 %, 330.84 W, 1995 MHz, 13801 MHz, 52
2026/09/13 19:48:57.724, 98 %, 19 %, 326.77 W, 1995 MHz, 13801 MHz, 52
2026/09/13 19:48:58.727, 99 %, 21 %, 319.60 W, 1995 MHz, 13801 MHz, 52
2026/09/13 19:48:59.729, 98 %, 26 %, 319.11 W, 1995 MHz, 13801 MHz, 52
2026/09/13 19:49:00.732, 99 %, 46 %, 269.41 W, 2010 MHz, 13801 MHz, 49
2026/09/13 19:49:01.734, 99 %, 50 %, 248.57 W, 2002 MHz, 13801 MHz, 48
2026/09/13 19:49:02.738, 99 %, 54 %, 247.60 W, 2002 MHz, 13801 MHz, 48
2026/09/13 19:49:03.741, 99 %, 54 %, 252.60 W, 2002 MHz, 13801 MHz, 48
2026/09/13 19:49:04.742, 99 %, 54 %, 253.21 W, 2002 MHz, 13801 MHz, 48
2026/09/13 19:49:05.745, 98 %, 54 %, 253.18 W, 2002 MHz, 13801 MHz, 48
2026/09/13 19:49:06.761, 99 %, 54 %, 253.56 W, 2002 MHz, 13801 MHz, 49
2026/09/13 19:49:07.765, 99 %, 54 %, 253.73 W, 2002 MHz, 13801 MHz, 49
2026/09/13 19:49:08.768, 99 %, 54 %, 253.39 W, 2002 MHz, 13801 MHz, 49
2026/09/13 19:49:09.771, 98 %, 54 %, 254.39 W, 2002 MHz, 13801 MHz, 49
2026/09/13 19:49:10.775, 99 %, 54 %, 254.28 W, 2002 MHz, 13801 MHz, 49
2026/09/13 19:49:11.782, 99 %, 53 %, 251.12 W, 2002 MHz, 13801 MHz, 49
2026/09/13 19:49:12.785, 99 %, 54 %, 254.57 W, 2002 MHz, 13801 MHz, 49
2026/09/13 19:49:13.788, 99 %, 54 %, 254.59 W, 2002 MHz, 13801 MHz, 49
2026/09/13 19:49:14.804, 99 %, 54 %, 255.37 W, 2002 MHz, 13801 MHz, 49
2026/09/13 19:49:15.809, 98 %, 54 %, 255.57 W, 2002 MHz, 13801 MHz, 49
2026/09/13 19:49:16.814, 99 %, 52 %, 253.93 W, 2002 MHz, 13801 MHz, 49
2026/09/13 19:49:17.819, 99 %, 54 %, 255.97 W, 2002 MHz, 13801 MHz, 49
2026/09/13 19:49:18.826, 98 %, 54 %, 253.26 W, 2002 MHz, 13801 MHz, 50
2026/09/13 19:49:19.832, 99 %, 53 %, 256.41 W, 2002 MHz, 13801 MHz, 50
2026/09/13 19:49:20.835, 99 %, 54 %, 256.92 W, 2002 MHz, 13801 MHz, 50
2026/09/13 19:49:21.839, 97 %, 53 %, 256.95 W, 2002 MHz, 13801 MHz, 50
2026/09/13 19:49:22.847, 97 %, 45 %, 256.78 W, 2002 MHz, 13801 MHz, 50
2026/09/13 19:49:23.851, 97 %, 28 %, 347.70 W, 1987 MHz, 13801 MHz, 54
2026/09/13 19:49:24.859, 98 %, 26 %, 330.47 W, 1987 MHz, 13801 MHz, 54
2026/09/13 19:49:25.865, 99 %, 17 %, 334.18 W, 1995 MHz, 13801 MHz, 55
2026/09/13 19:49:26.868, 98 %, 23 %, 321.89 W, 1995 MHz, 13801 MHz, 55
2026/09/13 19:49:27.870, 99 %, 16 %, 324.04 W, 1995 MHz, 13801 MHz, 55
2026/09/13 19:49:28.873, 99 %, 21 %, 311.08 W, 1995 MHz, 13801 MHz, 54
2026/09/13 19:49:29.876, 99 %, 24 %, 306.75 W, 1980 MHz, 13801 MHz, 55
2026/09/13 19:49:30.879, 97 %, 27 %, 349.87 W, 1987 MHz, 13801 MHz, 55
2026/09/13 19:49:31.882, 97 %, 25 %, 338.23 W, 1995 MHz, 13801 MHz, 54
2026/09/13 19:49:32.887, 98 %, 24 %, 330.79 W, 1995 MHz, 13801 MHz, 55
2026/09/13 19:49:33.890, 99 %, 16 %, 325.90 W, 1995 MHz, 13801 MHz, 56
2026/09/13 19:49:34.894, 98 %, 22 %, 319.81 W, 1995 MHz, 13801 MHz, 55
2026/09/13 19:49:35.897, 99 %, 44 %, 290.09 W, 2010 MHz, 13801 MHz, 52
2026/09/13 19:49:36.901, 98 %, 44 %, 256.26 W, 2010 MHz, 13801 MHz, 52
2026/09/13 19:49:37.906, 99 %, 53 %, 255.75 W, 2002 MHz, 13801 MHz, 52
2026/09/13 19:49:38.910, 99 %, 52 %, 254.74 W, 2002 MHz, 13801 MHz, 52
2026/09/13 19:49:39.911, 99 %, 51 %, 251.35 W, 2002 MHz, 13801 MHz, 52
2026/09/13 19:49:40.915, 99 %, 51 %, 251.06 W, 2002 MHz, 13801 MHz, 51
2026/09/13 19:49:41.920, 99 %, 51 %, 251.31 W, 2002 MHz, 13801 MHz, 51
2026/09/13 19:49:42.922, 99 %, 51 %, 250.01 W, 2002 MHz, 13801 MHz, 51
2026/09/13 19:49:43.925, 98 %, 29 %, 291.36 W, 1980 MHz, 13801 MHz, 54
2026/09/13 19:49:44.930, 99 %, 21 %, 349.02 W, 1987 MHz, 13801 MHz, 56
2026/09/13 19:49:45.934, 99 %, 18 %, 340.97 W, 1987 MHz, 13801 MHz, 56
2026/09/13 19:49:46.936, 99 %, 17 %, 331.87 W, 1995 MHz, 13801 MHz, 56
2026/09/13 19:49:47.941, 98 %, 21 %, 325.91 W, 1995 MHz, 13801 MHz, 56
2026/09/13 19:49:48.946, 99 %, 15 %, 321.72 W, 1995 MHz, 13801 MHz, 56
2026/09/13 19:49:49.963, 99 %, 44 %, 294.81 W, 2010 MHz, 13801 MHz, 53
2026/09/13 19:49:50.967, 99 %, 45 %, 257.90 W, 2010 MHz, 13801 MHz, 53
2026/09/13 19:49:51.970, 99 %, 51 %, 251.50 W, 2002 MHz, 13801 MHz, 52
2026/09/13 19:49:52.973, 99 %, 50 %, 247.03 W, 2002 MHz, 13801 MHz, 52
2026/09/13 19:49:53.978, 99 %, 50 %, 250.84 W, 2002 MHz, 13801 MHz, 52
2026/09/13 19:49:54.984, 99 %, 50 %, 250.29 W, 2002 MHz, 13801 MHz, 52
2026/09/13 19:49:55.986, 98 %, 48 %, 250.95 W, 2002 MHz, 13801 MHz, 52
2026/09/13 19:49:56.990, 98 %, 45 %, 240.54 W, 2002 MHz, 13801 MHz, 52
2026/09/13 19:49:57.994, 99 %, 50 %, 248.94 W, 2002 MHz, 13801 MHz, 52
2026/09/13 19:49:58.997, 99 %, 49 %, 249.34 W, 2002 MHz, 13801 MHz, 52
2026/09/13 19:50:00.002, 99 %, 50 %, 251.62 W, 2002 MHz, 13801 MHz, 52
2026/09/13 19:50:01.006, 99 %, 49 %, 251.22 W, 2002 MHz, 13801 MHz, 52
2026/09/13 19:50:02.009, 93 %, 28 %, 299.59 W, 1987 MHz, 13801 MHz, 56
2026/09/13 19:50:03.012, 97 %, 27 %, 348.19 W, 1987 MHz, 13801 MHz, 55
2026/09/13 19:50:04.014, 99 %, 19 %, 339.21 W, 1995 MHz, 13801 MHz, 57
2026/09/13 19:50:05.018, 99 %, 17 %, 330.69 W, 1995 MHz, 13801 MHz, 57
2026/09/13 19:50:06.023, 99 %, 16 %, 328.88 W, 1995 MHz, 13801 MHz, 56
2026/09/13 19:50:07.027, 99 %, 16 %, 324.71 W, 1995 MHz, 13801 MHz, 57
2026/09/13 19:50:08.031, 99 %, 45 %, 296.80 W, 2010 MHz, 13801 MHz, 53
2026/09/13 19:50:09.033, 99 %, 44 %, 252.51 W, 2010 MHz, 13801 MHz, 53
2026/09/13 19:50:10.037, 99 %, 52 %, 288.40 W, 1995 MHz, 13801 MHz, 54
2026/09/13 19:50:11.043, 99 %, 54 %, 291.24 W, 1995 MHz, 13801 MHz, 54
2026/09/13 19:50:12.048, 98 %, 54 %, 292.68 W, 1995 MHz, 13801 MHz, 54
2026/09/13 19:50:13.053, 99 %, 54 %, 292.32 W, 1995 MHz, 13801 MHz, 54
2026/09/13 19:50:14.059, 99 %, 54 %, 293.13 W, 1995 MHz, 13801 MHz, 54
2026/09/13 19:50:15.076, 99 %, 54 %, 293.89 W, 1995 MHz, 13801 MHz, 54
2026/09/13 19:50:16.081, 99 %, 54 %, 292.18 W, 1995 MHz, 13801 MHz, 54
2026/09/13 19:50:17.098, 99 %, 54 %, 291.70 W, 1995 MHz, 13801 MHz, 54
2026/09/13 19:50:18.103, 98 %, 30 %, 333.84 W, 1980 MHz, 13801 MHz, 56
2026/09/13 19:50:19.109, 99 %, 20 %, 356.47 W, 1987 MHz, 13801 MHz, 57
2026/09/13 19:50:20.114, 98 %, 24 %, 343.30 W, 1987 MHz, 13801 MHz, 57
2026/09/13 19:50:21.120, 97 %, 23 %, 307.77 W, 1995 MHz, 13801 MHz, 56
2026/09/13 19:50:22.125, 98 %, 23 %, 305.36 W, 1995 MHz, 13801 MHz, 56
2026/09/13 19:50:23.130, 99 %, 16 %, 301.68 W, 1995 MHz, 13801 MHz, 57
2026/09/13 19:50:24.135, 99 %, 49 %, 276.83 W, 1995 MHz, 13801 MHz, 54
2026/09/13 19:50:25.141, 98 %, 53 %, 282.86 W, 1995 MHz, 13801 MHz, 54
2026/09/13 19:50:26.144, 99 %, 53 %, 287.91 W, 1995 MHz, 13801 MHz, 55
2026/09/13 19:50:27.146, 99 %, 53 %, 288.64 W, 1995 MHz, 13801 MHz, 55
2026/09/13 19:50:28.149, 97 %, 29 %, 334.73 W, 1980 MHz, 13801 MHz, 58
2026/09/13 19:50:29.152, 98 %, 26 %, 355.55 W, 1987 MHz, 13801 MHz, 58
2026/09/13 19:50:30.157, 99 %, 18 %, 341.99 W, 1987 MHz, 13801 MHz, 58
2026/09/13 19:50:31.173, 99 %, 17 %, 337.89 W, 1995 MHz, 13801 MHz, 58
2026/09/13 19:50:32.178, 97 %, 22 %, 329.74 W, 1995 MHz, 13801 MHz, 58
2026/09/13 19:50:33.181, 99 %, 15 %, 322.75 W, 1995 MHz, 13801 MHz, 58
2026/09/13 19:50:34.184, 99 %, 41 %, 275.66 W, 2010 MHz, 13801 MHz, 54
2026/09/13 19:50:35.190, 99 %, 41 %, 240.28 W, 2010 MHz, 13801 MHz, 54
2026/09/13 19:50:36.193, 99 %, 49 %, 272.39 W, 1995 MHz, 13801 MHz, 55
2026/09/13 19:50:37.210, 98 %, 49 %, 277.78 W, 1995 MHz, 13801 MHz, 55
2026/09/13 19:50:38.213, 99 %, 48 %, 272.40 W, 1995 MHz, 13801 MHz, 54
2026/09/13 19:50:39.230, 99 %, 48 %, 270.13 W, 1995 MHz, 13801 MHz, 54
2026/09/13 19:50:40.234, 99 %, 48 %, 271.52 W, 1995 MHz, 13801 MHz, 54
2026/09/13 19:50:41.237, 97 %, 30 %, 284.34 W, 1995 MHz, 13801 MHz, 57
2026/09/13 19:50:42.240, 99 %, 22 %, 342.41 W, 1987 MHz, 13801 MHz, 58
2026/09/13 19:50:43.243, 98 %, 25 %, 328.03 W, 1987 MHz, 13801 MHz, 57
2026/09/13 19:50:44.248, 98 %, 24 %, 318.93 W, 1987 MHz, 13801 MHz, 57
2026/09/13 19:50:45.251, 99 %, 17 %, 316.11 W, 1995 MHz, 13801 MHz, 58
2026/09/13 19:50:46.252, 99 %, 16 %, 312.21 W, 1995 MHz, 13801 MHz, 58
2026/09/13 19:50:47.259, 99 %, 15 %, 319.88 W, 1995 MHz, 13801 MHz, 58
2026/09/13 19:50:48.276, 99 %, 43 %, 277.42 W, 2010 MHz, 13801 MHz, 54
2026/09/13 19:50:49.277, 99 %, 51 %, 256.62 W, 2010 MHz, 13801 MHz, 55
2026/09/13 19:50:50.294, 98 %, 51 %, 284.35 W, 1995 MHz, 13801 MHz, 55
2026/09/13 19:50:51.311, 99 %, 56 %, 283.55 W, 1995 MHz, 13801 MHz, 55
2026/09/13 19:50:52.316, 99 %, 23 %, 291.15 W, 1980 MHz, 13801 MHz, 58
2026/09/13 19:50:53.319, 99 %, 20 %, 352.18 W, 1987 MHz, 13801 MHz, 58
2026/09/13 19:50:54.324, 99 %, 18 %, 343.56 W, 1987 MHz, 13801 MHz, 58
2026/09/13 19:50:55.330, 99 %, 17 %, 325.72 W, 1995 MHz, 13801 MHz, 58
2026/09/13 19:50:56.333, 97 %, 15 %, 316.82 W, 1995 MHz, 13801 MHz, 57
2026/09/13 19:50:57.336, 99 %, 22 %, 303.83 W, 1995 MHz, 13801 MHz, 58
