2026/09/13 20:15:44.723, 1 %, 1 %, 68.01 W, 2010 MHz, 14001 MHz, 43
2026/09/13 20:15:45.743, 1 %, 0 %, 67.94 W, 2010 MHz, 14001 MHz, 43
2026/09/13 20:15:46.748, 2 %, 0 %, 68.29 W, 2010 MHz, 14001 MHz, 43
2026/09/13 20:15:47.753, 98 %, 23 %, 260.32 W, 1987 MHz, 14001 MHz, 51
2026/09/13 20:15:48.759, 1 %, 1 %, 267.45 W, 2002 MHz, 14001 MHz, 44
2026/09/13 20:15:49.767, 2 %, 1 %, 68.87 W, 2010 MHz, 14001 MHz, 43
2026/09/13 20:15:50.772, 1 %, 1 %, 68.54 W, 2010 MHz, 14001 MHz, 43
2026/09/13 20:15:51.780, 1 %, 1 %, 67.94 W, 2010 MHz, 14001 MHz, 43
2026/09/13 20:15:52.798, 1 %, 1 %, 67.59 W, 2010 MHz, 14001 MHz, 43
2026/09/13 20:15:53.816, 1 %, 0 %, 67.86 W, 2010 MHz, 14001 MHz, 42
2026/09/13 20:15:54.822, 97 %, 25 %, 181.45 W, 1980 MHz, 14001 MHz, 50
2026/09/13 20:15:55.831, 98 %, 26 %, 354.69 W, 1980 MHz, 14001 MHz, 51
2026/09/13 20:15:56.837, 98 %, 31 %, 350.67 W, 1987 MHz, 14001 MHz, 52
2026/09/13 20:15:57.841, 97 %, 30 %, 354.61 W, 1987 MHz, 14001 MHz, 52
2026/09/13 20:15:58.848, 98 %, 24 %, 350.88 W, 1987 MHz, 14001 MHz, 52
2026/09/13 20:15:59.853, 99 %, 53 %, 282.78 W, 1995 MHz, 14001 MHz, 49
2026/09/13 20:16:00.855, 99 %, 53 %, 282.25 W, 1995 MHz, 14001 MHz, 49
2026/09/13 20:16:01.859, 99 %, 53 %, 282.65 W, 1995 MHz, 14001 MHz, 49
2026/09/13 20:16:02.865, 2 %, 1 %, 95.89 W, 2010 MHz, 14001 MHz, 44
2026/09/13 20:16:03.873, 3 %, 1 %, 68.53 W, 2010 MHz, 14001 MHz, 44
2026/09/13 20:16:04.880, 1 %, 1 %, 68.07 W, 2010 MHz, 14001 MHz, 43
2026/09/13 20:16:05.885, 1 %, 1 %, 67.69 W, 2010 MHz, 14001 MHz, 43
2026/09/13 20:16:06.890, 2 %, 1 %, 67.89 W, 2010 MHz, 14001 MHz, 43
2026/09/13 20:16:07.895, 2 %, 1 %, 68.01 W, 2010 MHz, 14001 MHz, 43
2026/09/13 20:16:08.900, 2 %, 1 %, 67.89 W, 2010 MHz, 14001 MHz, 43
2026/09/13 20:16:09.905, 2 %, 1 %, 67.42 W, 2010 MHz, 14001 MHz, 43
2026/09/13 20:16:10.913, 2 %, 1 %, 67.41 W, 2010 MHz, 14001 MHz, 42
2026/09/13 20:16:11.921, 2 %, 1 %, 67.19 W, 2010 MHz, 14001 MHz, 42
2026/09/13 20:16:12.928, 2 %, 1 %, 67.27 W, 2010 MHz, 14001 MHz, 42
2026/09/13 20:16:13.934, 1 %, 1 %, 66.81 W, 2010 MHz, 14001 MHz, 42
2026/09/13 20:16:14.939, 1 %, 1 %, 67.30 W, 2010 MHz, 14001 MHz, 42
2026/09/13 20:16:15.946, 1 %, 1 %, 67.22 W, 2010 MHz, 14001 MHz, 42
2026/09/13 20:16:16.949, 1 %, 1 %, 67.17 W, 2010 MHz, 14001 MHz, 42
2026/09/13 20:16:17.953, 1 %, 1 %, 67.17 W, 2010 MHz, 14001 MHz, 42
2026/09/13 20:16:18.957, 2 %, 1 %, 67.53 W, 2010 MHz, 14001 MHz, 42
2026/09/13 20:16:19.966, 2 %, 1 %, 67.57 W, 2010 MHz, 14001 MHz, 41
