2026/09/13 20:08:50.817, 4 %, 0 %, 69.28 W, 2010 MHz, 14001 MHz, 44
2026/09/13 20:08:51.837, 3 %, 0 %, 69.31 W, 2010 MHz, 14001 MHz, 43
2026/09/13 20:08:52.844, 3 %, 0 %, 69.51 W, 2010 MHz, 14001 MHz, 43
2026/09/13 20:08:53.852, 98 %, 24 %, 318.51 W, 1980 MHz, 14001 MHz, 52
2026/09/13 20:08:54.857, 99 %, 60 %, 308.49 W, 1995 MHz, 14001 MHz, 49
2026/09/13 20:08:55.864, 99 %, 58 %, 295.12 W, 1995 MHz, 14001 MHz, 49
2026/09/13 20:08:56.870, 99 %, 58 %, 294.68 W, 1995 MHz, 14001 MHz, 49
2026/09/13 20:08:57.875, 99 %, 59 %, 295.01 W, 1995 MHz, 14001 MHz, 49
2026/09/13 20:08:58.880, 4 %, 0 %, 183.21 W, 2010 MHz, 14001 MHz, 45
2026/09/13 20:08:59.897, 4 %, 0 %, 69.75 W, 2010 MHz, 14001 MHz, 44
2026/09/13 20:09:00.904, 3 %, 0 %, 69.48 W, 2010 MHz, 14001 MHz, 44
2026/09/13 20:09:01.910, 3 %, 0 %, 69.28 W, 2010 MHz, 14001 MHz, 44
2026/09/13 20:09:02.914, 4 %, 1 %, 69.10 W, 2010 MHz, 14001 MHz, 44
2026/09/13 20:09:03.919, 4 %, 1 %, 69.30 W, 2010 MHz, 14001 MHz, 43
2026/09/13 20:09:04.925, 99 %, 26 %, 169.88 W, 1980 MHz, 14001 MHz, 51
2026/09/13 20:09:05.931, 97 %, 31 %, 356.57 W, 1980 MHz, 14001 MHz, 52
2026/09/13 20:09:06.937, 98 %, 32 %, 354.20 W, 1980 MHz, 14001 MHz, 52
2026/09/13 20:09:07.944, 95 %, 31 %, 349.10 W, 1987 MHz, 14001 MHz, 52
2026/09/13 20:09:08.950, 97 %, 30 %, 352.73 W, 1987 MHz, 14001 MHz, 53
2026/09/13 20:09:09.957, 97 %, 57 %, 258.06 W, 2002 MHz, 14001 MHz, 49
2026/09/13 20:09:10.964, 99 %, 59 %, 281.09 W, 1995 MHz, 14001 MHz, 49
2026/09/13 20:09:11.967, 99 %, 59 %, 283.29 W, 1995 MHz, 14001 MHz, 49
2026/09/13 20:09:12.971, 99 %, 58 %, 280.61 W, 1995 MHz, 14001 MHz, 49
2026/09/13 20:09:13.977, 4 %, 1 %, 232.21 W, 2010 MHz, 14001 MHz, 46
2026/09/13 20:09:14.984, 4 %, 0 %, 69.94 W, 2010 MHz, 14001 MHz, 45
2026/09/13 20:09:15.990, 3 %, 0 %, 69.55 W, 2010 MHz, 14001 MHz, 44
2026/09/13 20:09:16.997, 4 %, 0 %, 69.32 W, 2010 MHz, 14001 MHz, 44
2026/09/13 20:09:18.003, 4 %, 1 %, 69.10 W, 2010 MHz, 14001 MHz, 44
2026/09/13 20:09:19.009, 4 %, 0 %, 69.23 W, 2010 MHz, 14001 MHz, 44
2026/09/13 20:09:20.014, 3 %, 0 %, 69.29 W, 2010 MHz, 14001 MHz, 44
2026/09/13 20:09:21.020, 3 %, 1 %, 68.95 W, 2010 MHz, 14001 MHz, 43
