2026/09/15 14:43:13.808, 1 %, 70.63 W, 28800 MiB
2026/09/15 14:43:14.814, 2 %, 68.99 W, 28794 MiB
2026/09/15 14:43:15.816, 97 %, 115.64 W, 28805 MiB
2026/09/15 14:43:16.822, 99 %, 366.83 W, 28991 MiB
2026/09/15 14:43:17.827, 2 %, 140.87 W, 28749 MiB
2026/09/15 14:43:18.833, 6 %, 69.72 W, 28769 MiB
2026/09/15 14:43:19.841, 5 %, 68.50 W, 28777 MiB
2026/09/15 14:43:20.848, 1 %, 68.45 W, 28777 MiB
2026/09/15 14:43:21.853, 2 %, 68.45 W, 28774 MiB
2026/09/15 14:43:22.859, 97 %, 204.71 W, 28804 MiB
2026/09/15 14:43:23.863, 97 %, 348.81 W, 29033 MiB
2026/09/15 14:43:24.870, 99 %, 349.35 W, 29033 MiB
2026/09/15 14:43:25.875, 97 %, 356.94 W, 28804 MiB
2026/09/15 14:43:26.879, 97 %, 356.99 W, 29000 MiB
2026/09/15 14:43:27.884, 98 %, 338.93 W, 29000 MiB
2026/09/15 14:43:28.893, 98 %, 236.25 W, 28994 MiB
2026/09/15 14:43:29.902, 3 %, 178.10 W, 28766 MiB
2026/09/15 14:43:30.908, 2 %, 69.57 W, 28766 MiB
2026/09/15 14:43:31.910, 2 %, 69.15 W, 28766 MiB
2026/09/15 14:43:32.917, 2 %, 69.18 W, 28766 MiB
2026/09/15 14:43:33.921, 2 %, 69.20 W, 28766 MiB
2026/09/15 14:43:34.923, 2 %, 69.20 W, 28766 MiB
2026/09/15 14:43:35.928, 2 %, 69.12 W, 28766 MiB
2026/09/15 14:43:36.933, 2 %, 69.11 W, 28766 MiB
2026/09/15 14:43:37.939, 2 %, 69.07 W, 28766 MiB
2026/09/15 14:43:38.943, 2 %, 68.95 W, 28766 MiB
2026/09/15 14:43:39.948, 2 %, 68.96 W, 28766 MiB
2026/09/15 14:43:40.954, 2 %, 69.14 W, 28766 MiB
2026/09/15 14:43:41.960, 1 %, 68.50 W, 28766 MiB
2026/09/15 14:43:42.966, 2 %, 68.79 W, 28766 MiB
2026/09/15 14:43:43.970, 2 %, 68.48 W, 28766 MiB
2026/09/15 14:43:44.976, 2 %, 68.61 W, 28766 MiB
2026/09/15 14:43:45.983, 2 %, 68.56 W, 28766 MiB
2026/09/15 14:43:46.986, 2 %, 68.54 W, 28769 MiB
2026/09/15 14:43:47.992, 2 %, 68.61 W, 28766 MiB
2026/09/15 14:43:48.999, 2 %, 68.66 W, 28766 MiB
2026/09/15 14:43:50.005, 2 %, 68.53 W, 28766 MiB
2026/09/15 14:43:51.011, 1 %, 68.91 W, 28774 MiB
2026/09/15 14:43:52.017, 2 %, 68.40 W, 28777 MiB
