2026/09/15 14:56:21.836, 2 %, 71.60 W, 28976 MiB
2026/09/15 14:56:22.838, 0 %, 68.83 W, 28948 MiB
2026/09/15 14:56:23.839, 1 %, 68.92 W, 28982 MiB
2026/09/15 14:56:24.839, 98 %, 307.66 W, 29186 MiB
2026/09/15 14:56:25.840, 1 %, 231.21 W, 28958 MiB
2026/09/15 14:56:26.841, 2 %, 69.76 W, 28958 MiB
2026/09/15 14:56:27.841, 2 %, 69.74 W, 28942 MiB
2026/09/15 14:56:28.842, 0 %, 69.07 W, 28946 MiB
2026/09/15 14:56:29.842, 2 %, 68.80 W, 28949 MiB
2026/09/15 14:56:30.843, 1 %, 69.30 W, 28981 MiB
2026/09/15 14:56:31.845, 97 %, 258.03 W, 28979 MiB
2026/09/15 14:56:32.845, 97 %, 353.82 W, 29208 MiB
2026/09/15 14:56:33.846, 99 %, 345.20 W, 29202 MiB
2026/09/15 14:56:34.847, 97 %, 346.38 W, 29201 MiB
2026/09/15 14:56:35.848, 97 %, 344.16 W, 29201 MiB
2026/09/15 14:56:36.849, 92 %, 338.38 W, 29167 MiB
2026/09/15 14:56:37.850, 1 %, 194.28 W, 28939 MiB
2026/09/15 14:56:38.850, 2 %, 69.31 W, 28938 MiB
2026/09/15 14:56:39.851, 1 %, 68.97 W, 28938 MiB
2026/09/15 14:56:40.852, 1 %, 68.60 W, 28938 MiB
2026/09/15 14:56:41.853, 1 %, 69.17 W, 28938 MiB
2026/09/15 14:56:42.853, 0 %, 68.71 W, 28939 MiB
2026/09/15 14:56:43.854, 0 %, 68.66 W, 28939 MiB
2026/09/15 14:56:44.855, 1 %, 68.61 W, 28937 MiB
2026/09/15 14:56:45.855, 0 %, 68.98 W, 28937 MiB
2026/09/15 14:56:46.856, 0 %, 68.51 W, 28937 MiB
2026/09/15 14:56:47.856, 1 %, 68.63 W, 28937 MiB
2026/09/15 14:56:48.856, 1 %, 68.68 W, 28937 MiB
2026/09/15 14:56:49.857, 1 %, 68.51 W, 28937 MiB
2026/09/15 14:56:50.857, 1 %, 68.71 W, 28937 MiB
2026/09/15 14:56:51.859, 1 %, 68.69 W, 28937 MiB
2026/09/15 14:56:52.859, 0 %, 68.77 W, 28937 MiB
2026/09/15 14:56:53.860, 0 %, 68.89 W, 28937 MiB
2026/09/15 14:56:54.860, 0 %, 68.57 W, 28937 MiB
2026/09/15 14:56:55.861, 0 %, 68.55 W, 28937 MiB
2026/09/15 14:56:56.861, 1 %, 68.66 W, 28937 MiB
2026/09/15 14:56:57.861, 1 %, 68.68 W, 28937 MiB
2026/09/15 14:56:58.862, 1 %, 68.54 W, 28937 MiB
2026/09/15 14:56:59.862, 1 %, 68.24 W, 28937 MiB
2026/09/15 14:57:00.864, 0 %, 68.17 W, 28939 MiB
2026/09/15 14:57:01.864, 1 %, 68.00 W, 28938 MiB
2026/09/15 14:57:02.865, 1 %, 68.29 W, 28938 MiB
2026/09/15 14:57:03.865, 1 %, 68.13 W, 28938 MiB
2026/09/15 14:57:04.866, 0 %, 67.91 W, 28938 MiB
2026/09/15 14:57:05.867, 1 %, 67.83 W, 28938 MiB
2026/09/15 14:57:06.868, 0 %, 68.01 W, 28938 MiB
2026/09/15 14:57:07.868, 1 %, 67.79 W, 28938 MiB
2026/09/15 14:57:08.869, 2 %, 68.57 W, 28943 MiB
2026/09/15 14:57:09.871, 0 %, 67.98 W, 28943 MiB
2026/09/15 14:57:10.871, 2 %, 68.56 W, 28943 MiB
2026/09/15 14:57:11.872, 2 %, 68.57 W, 28943 MiB
2026/09/15 14:57:12.872, 0 %, 68.25 W, 28943 MiB
2026/09/15 14:57:13.873, 2 %, 67.91 W, 28932 MiB
2026/09/15 14:57:14.873, 2 %, 68.01 W, 28932 MiB
2026/09/15 14:57:15.873, 2 %, 68.03 W, 28932 MiB
2026/09/15 14:57:16.874, 1 %, 68.05 W, 28928 MiB
2026/09/15 14:57:17.874, 0 %, 67.82 W, 28928 MiB
2026/09/15 14:57:18.875, 0 %, 68.01 W, 28928 MiB
2026/09/15 14:57:19.875, 0 %, 67.82 W, 28956 MiB
2026/09/15 14:57:20.876, 2 %, 68.65 W, 28956 MiB
2026/09/15 14:57:21.876, 2 %, 67.72 W, 28956 MiB
2026/09/15 14:57:22.877, 2 %, 68.78 W, 28951 MiB
2026/09/15 14:57:23.877, 2 %, 68.62 W, 28955 MiB
2026/09/15 14:57:24.878, 0 %, 67.94 W, 28955 MiB
2026/09/15 14:57:25.879, 1 %, 67.76 W, 28952 MiB
2026/09/15 14:57:26.879, 1 %, 67.89 W, 28952 MiB
2026/09/15 14:57:27.880, 0 %, 67.46 W, 28952 MiB
2026/09/15 14:57:28.880, 0 %, 67.74 W, 28952 MiB
2026/09/15 14:57:29.881, 1 %, 68.36 W, 28952 MiB
