2026/09/15 14:33:27.260, 0 %, 69.02 W, 28799 MiB
2026/09/15 14:33:28.266, 1 %, 67.38 W, 28799 MiB
2026/09/15 14:33:29.272, 97 %, 110.14 W, 28833 MiB
2026/09/15 14:33:30.279, 99 %, 366.03 W, 29029 MiB
2026/09/15 14:33:31.284, 1 %, 120.72 W, 28801 MiB
2026/09/15 14:33:32.287, 1 %, 67.68 W, 28801 MiB
2026/09/15 14:33:33.293, 1 %, 67.45 W, 28801 MiB
2026/09/15 14:33:34.301, 1 %, 67.56 W, 28801 MiB
2026/09/15 14:33:35.303, 0 %, 67.84 W, 28801 MiB
2026/09/15 14:33:36.305, 94 %, 166.13 W, 28833 MiB
2026/09/15 14:33:37.308, 98 %, 360.87 W, 29061 MiB
2026/09/15 14:33:38.315, 98 %, 349.48 W, 29061 MiB
2026/09/15 14:33:39.322, 98 %, 345.30 W, 29061 MiB
2026/09/15 14:33:40.328, 99 %, 345.64 W, 29257 MiB
2026/09/15 14:33:41.331, 89 %, 342.92 W, 29257 MiB
2026/09/15 14:33:42.336, 99 %, 253.52 W, 29029 MiB
2026/09/15 14:33:43.341, 1 %, 108.40 W, 28801 MiB
2026/09/15 14:33:44.350, 1 %, 68.28 W, 28801 MiB
2026/09/15 14:33:45.354, 1 %, 68.13 W, 28801 MiB
2026/09/15 14:33:46.361, 1 %, 67.88 W, 28801 MiB
2026/09/15 14:33:47.363, 1 %, 67.80 W, 28801 MiB
2026/09/15 14:33:48.368, 0 %, 67.77 W, 28801 MiB
2026/09/15 14:33:49.374, 0 %, 67.81 W, 28801 MiB
2026/09/15 14:33:50.379, 0 %, 67.44 W, 28801 MiB
2026/09/15 14:33:51.384, 0 %, 67.58 W, 28801 MiB
2026/09/15 14:33:52.390, 0 %, 67.55 W, 28801 MiB
2026/09/15 14:33:53.397, 1 %, 67.84 W, 28801 MiB
2026/09/15 14:33:54.402, 1 %, 67.77 W, 28801 MiB
2026/09/15 14:33:55.410, 1 %, 67.62 W, 28801 MiB
2026/09/15 14:33:56.413, 1 %, 67.63 W, 28801 MiB
2026/09/15 14:33:57.417, 1 %, 67.51 W, 28801 MiB
2026/09/15 14:33:58.424, 1 %, 67.65 W, 28801 MiB
2026/09/15 14:33:59.429, 0 %, 67.60 W, 28801 MiB
2026/09/15 14:34:00.439, 1 %, 67.74 W, 28801 MiB
2026/09/15 14:34:01.441, 0 %, 67.75 W, 28801 MiB
2026/09/15 14:34:02.447, 0 %, 67.65 W, 28801 MiB
2026/09/15 14:34:03.450, 0 %, 67.68 W, 28801 MiB
2026/09/15 14:34:04.456, 1 %, 67.81 W, 28801 MiB
2026/09/15 14:34:05.462, 0 %, 67.50 W, 28801 MiB
2026/09/15 14:34:06.468, 2 %, 67.53 W, 28801 MiB
2026/09/15 14:34:07.473, 1 %, 67.66 W, 28801 MiB
2026/09/15 14:34:08.479, 1 %, 67.68 W, 28801 MiB
2026/09/15 14:34:09.486, 1 %, 67.78 W, 28801 MiB
2026/09/15 14:34:10.492, 1 %, 67.44 W, 28801 MiB
2026/09/15 14:34:11.495, 0 %, 67.50 W, 28801 MiB
2026/09/15 14:34:12.506, 0 %, 67.71 W, 28801 MiB
2026/09/15 14:34:13.513, 1 %, 67.58 W, 28801 MiB
2026/09/15 14:34:14.517, 0 %, 67.47 W, 28801 MiB
2026/09/15 14:34:15.521, 0 %, 67.53 W, 28801 MiB
2026/09/15 14:34:16.528, 0 %, 67.66 W, 28803 MiB
2026/09/15 14:34:17.543, 2 %, 67.47 W, 28801 MiB
2026/09/15 14:34:18.552, 1 %, 67.18 W, 28801 MiB
2026/09/15 14:34:19.558, 1 %, 67.44 W, 28801 MiB
2026/09/15 14:34:20.564, 1 %, 67.75 W, 28801 MiB
2026/09/15 14:34:21.568, 1 %, 67.98 W, 28801 MiB
2026/09/15 14:34:22.572, 1 %, 68.13 W, 28801 MiB
2026/09/15 14:34:23.577, 0 %, 67.87 W, 28801 MiB
2026/09/15 14:34:24.580, 0 %, 67.62 W, 28801 MiB
2026/09/15 14:34:25.585, 0 %, 67.75 W, 28801 MiB
2026/09/15 14:34:26.590, 1 %, 68.03 W, 28801 MiB
2026/09/15 14:34:27.596, 0 %, 67.68 W, 28801 MiB
2026/09/15 14:34:28.599, 1 %, 67.50 W, 28801 MiB
2026/09/15 14:34:29.607, 1 %, 67.69 W, 28801 MiB
2026/09/15 14:34:30.609, 1 %, 67.67 W, 28801 MiB
2026/09/15 14:34:31.615, 1 %, 67.64 W, 28801 MiB
2026/09/15 14:34:32.621, 1 %, 67.86 W, 28801 MiB
2026/09/15 14:34:33.627, 1 %, 67.75 W, 28801 MiB
2026/09/15 14:34:34.635, 1 %, 67.51 W, 28801 MiB
2026/09/15 14:34:35.642, 1 %, 67.58 W, 28801 MiB
2026/09/15 14:34:36.644, 0 %, 67.60 W, 28801 MiB
2026/09/15 14:34:37.651, 0 %, 67.58 W, 28801 MiB
2026/09/15 14:34:38.655, 0 %, 67.26 W, 28801 MiB
2026/09/15 14:34:39.659, 1 %, 67.02 W, 28801 MiB
2026/09/15 14:34:40.667, 1 %, 67.34 W, 28801 MiB
2026/09/15 14:34:41.671, 0 %, 67.39 W, 28801 MiB
2026/09/15 14:34:42.678, 1 %, 67.28 W, 28801 MiB
2026/09/15 14:34:43.682, 1 %, 67.09 W, 28801 MiB
2026/09/15 14:34:44.683, 1 %, 67.16 W, 28801 MiB
2026/09/15 14:34:45.691, 1 %, 66.85 W, 28801 MiB
2026/09/15 14:34:46.696, 1 %, 67.15 W, 28801 MiB
2026/09/15 14:34:47.701, 1 %, 67.48 W, 28801 MiB
2026/09/15 14:34:48.706, 1 %, 67.26 W, 28801 MiB
2026/09/15 14:34:49.710, 1 %, 67.36 W, 28801 MiB
2026/09/15 14:34:50.712, 98 %, 139.61 W, 28833 MiB
2026/09/15 14:34:51.715, 99 %, 354.85 W, 29289 MiB
2026/09/15 14:34:52.718, 98 %, 353.14 W, 29517 MiB
2026/09/15 14:34:53.725, 98 %, 348.21 W, 29745 MiB
2026/09/15 14:34:54.727, 97 %, 343.70 W, 29745 MiB
2026/09/15 14:34:55.732, 99 %, 337.71 W, 29745 MiB
2026/09/15 14:34:56.736, 97 %, 330.99 W, 29745 MiB
2026/09/15 14:34:57.740, 98 %, 331.08 W, 29745 MiB
2026/09/15 14:34:58.748, 99 %, 324.22 W, 29745 MiB
2026/09/15 14:34:59.751, 99 %, 324.61 W, 29745 MiB
2026/09/15 14:35:00.758, 95 %, 320.22 W, 29941 MiB
2026/09/15 14:35:01.762, 98 %, 303.73 W, 29713 MiB
2026/09/15 14:35:02.770, 99 %, 354.02 W, 29745 MiB
2026/09/15 14:35:03.775, 98 %, 347.11 W, 29745 MiB
2026/09/15 14:35:04.780, 99 %, 338.75 W, 29745 MiB
2026/09/15 14:35:05.786, 98 %, 332.88 W, 29745 MiB
2026/09/15 14:35:06.788, 98 %, 328.81 W, 29745 MiB
2026/09/15 14:35:07.793, 98 %, 324.79 W, 29760 MiB
2026/09/15 14:35:08.799, 97 %, 319.07 W, 29745 MiB
2026/09/15 14:35:09.805, 97 %, 312.27 W, 29745 MiB
2026/09/15 14:35:10.811, 99 %, 355.24 W, 29745 MiB
2026/09/15 14:35:11.814, 98 %, 341.08 W, 29745 MiB
2026/09/15 14:35:12.821, 99 %, 340.74 W, 29745 MiB
2026/09/15 14:35:13.845, 97 %, 332.95 W, 29713 MiB
2026/09/15 14:35:14.857, 99 %, 306.97 W, 29745 MiB
2026/09/15 14:35:15.861, 98 %, 325.46 W, 29745 MiB
2026/09/15 14:35:16.866, 99 %, 324.25 W, 29747 MiB
2026/09/15 14:35:17.870, 99 %, 313.18 W, 29745 MiB
2026/09/15 14:35:18.875, 98 %, 354.03 W, 29745 MiB
2026/09/15 14:35:19.875, 98 %, 347.61 W, 29745 MiB
2026/09/15 14:35:20.879, 99 %, 341.09 W, 29745 MiB
2026/09/15 14:35:21.883, 99 %, 336.56 W, 29713 MiB
2026/09/15 14:35:22.887, 99 %, 333.16 W, 29745 MiB
2026/09/15 14:35:23.892, 99 %, 329.16 W, 29745 MiB
2026/09/15 14:35:24.894, 99 %, 323.41 W, 29941 MiB
2026/09/15 14:35:25.898, 97 %, 304.96 W, 29745 MiB
2026/09/15 14:35:26.900, 98 %, 352.27 W, 29745 MiB
2026/09/15 14:35:27.908, 98 %, 349.24 W, 29745 MiB
2026/09/15 14:35:28.910, 98 %, 344.35 W, 29745 MiB
2026/09/15 14:35:29.914, 98 %, 336.92 W, 29745 MiB
2026/09/15 14:35:30.915, 98 %, 334.44 W, 29745 MiB
2026/09/15 14:35:31.919, 99 %, 330.71 W, 29713 MiB
2026/09/15 14:35:32.924, 98 %, 324.52 W, 29745 MiB
2026/09/15 14:35:33.928, 99 %, 313.11 W, 29941 MiB
2026/09/15 14:35:34.934, 99 %, 328.75 W, 29745 MiB
2026/09/15 14:35:35.945, 97 %, 352.12 W, 29745 MiB
2026/09/15 14:35:36.952, 99 %, 346.69 W, 29745 MiB
2026/09/15 14:35:37.958, 97 %, 340.50 W, 29745 MiB
2026/09/15 14:35:38.965, 98 %, 335.23 W, 29745 MiB
2026/09/15 14:35:39.972, 98 %, 332.59 W, 29745 MiB
2026/09/15 14:35:40.980, 99 %, 328.84 W, 29713 MiB
2026/09/15 14:35:41.988, 96 %, 324.12 W, 29941 MiB
2026/09/15 14:35:42.995, 98 %, 312.32 W, 29745 MiB
2026/09/15 14:35:44.002, 98 %, 355.95 W, 29745 MiB
2026/09/15 14:35:45.007, 98 %, 347.75 W, 29745 MiB
2026/09/15 14:35:46.012, 99 %, 342.46 W, 29745 MiB
2026/09/15 14:35:47.018, 99 %, 337.73 W, 29745 MiB
2026/09/15 14:35:48.022, 99 %, 333.82 W, 29745 MiB
2026/09/15 14:35:49.028, 99 %, 329.41 W, 29713 MiB
2026/09/15 14:35:50.031, 99 %, 327.73 W, 29941 MiB
2026/09/15 14:35:51.035, 97 %, 307.63 W, 29745 MiB
2026/09/15 14:35:52.042, 98 %, 353.14 W, 29745 MiB
2026/09/15 14:35:53.046, 98 %, 351.47 W, 29745 MiB
2026/09/15 14:35:54.048, 99 %, 344.52 W, 29745 MiB
2026/09/15 14:35:55.052, 97 %, 339.02 W, 29713 MiB
2026/09/15 14:35:56.057, 98 %, 336.12 W, 29745 MiB
2026/09/15 14:35:57.063, 94 %, 323.31 W, 29745 MiB
2026/09/15 14:35:58.075, 94 %, 310.04 W, 29745 MiB
2026/09/15 14:35:59.078, 99 %, 307.31 W, 29941 MiB
