2026/09/15 15:16:18.216, 0 %, 70.00 W, 28862 MiB
2026/09/15 15:16:19.218, 2 %, 68.32 W, 28857 MiB
2026/09/15 15:16:20.219, 95 %, 97.45 W, 28881 MiB
2026/09/15 15:16:21.219, 99 %, 342.85 W, 28886 MiB
2026/09/15 15:16:22.220, 3 %, 182.92 W, 28856 MiB
2026/09/15 15:16:23.221, 1 %, 69.12 W, 28856 MiB
2026/09/15 15:16:24.222, 0 %, 68.47 W, 28856 MiB
2026/09/15 15:16:25.223, 6 %, 68.57 W, 28937 MiB
2026/09/15 15:16:26.223, 0 %, 68.80 W, 28938 MiB
2026/09/15 15:16:27.224, 99 %, 101.61 W, 28965 MiB
2026/09/15 15:16:28.225, 98 %, 370.04 W, 29261 MiB
2026/09/15 15:16:29.225, 97 %, 337.63 W, 29190 MiB
2026/09/15 15:16:30.226, 96 %, 338.83 W, 28962 MiB
2026/09/15 15:16:31.226, 97 %, 348.11 W, 29116 MiB
2026/09/15 15:16:32.227, 98 %, 339.50 W, 28891 MiB
2026/09/15 15:16:33.228, 98 %, 272.59 W, 29081 MiB
2026/09/15 15:16:34.228, 99 %, 224.41 W, 29081 MiB
2026/09/15 15:16:35.228, 4 %, 153.69 W, 28854 MiB
2026/09/15 15:16:36.228, 2 %, 69.23 W, 28855 MiB
2026/09/15 15:16:37.229, 1 %, 69.44 W, 28853 MiB
2026/09/15 15:16:38.229, 1 %, 69.09 W, 28853 MiB
2026/09/15 15:16:39.229, 6 %, 68.59 W, 28850 MiB
2026/09/15 15:16:40.230, 3 %, 68.64 W, 28848 MiB
2026/09/15 15:16:41.231, 6 %, 69.27 W, 28862 MiB
2026/09/15 15:16:42.231, 4 %, 68.96 W, 28862 MiB
2026/09/15 15:16:43.232, 2 %, 68.52 W, 28862 MiB
2026/09/15 15:16:44.232, 1 %, 68.45 W, 28861 MiB
2026/09/15 15:16:45.233, 1 %, 67.97 W, 28856 MiB
2026/09/15 15:16:46.234, 3 %, 68.29 W, 28842 MiB
2026/09/15 15:16:47.234, 1 %, 68.62 W, 28842 MiB
2026/09/15 15:16:48.235, 3 %, 68.28 W, 28841 MiB
2026/09/15 15:16:49.236, 3 %, 67.99 W, 28840 MiB
2026/09/15 15:16:50.237, 4 %, 68.93 W, 28840 MiB
2026/09/15 15:16:51.237, 0 %, 67.31 W, 28840 MiB
2026/09/15 15:16:52.238, 0 %, 67.09 W, 28840 MiB
2026/09/15 15:16:53.238, 0 %, 67.54 W, 28840 MiB
2026/09/15 15:16:54.239, 1 %, 67.13 W, 28840 MiB
2026/09/15 15:16:55.239, 1 %, 67.54 W, 28840 MiB
2026/09/15 15:16:56.240, 0 %, 67.28 W, 28839 MiB
2026/09/15 15:16:57.240, 1 %, 67.18 W, 28839 MiB
2026/09/15 15:16:58.241, 1 %, 66.81 W, 28839 MiB
2026/09/15 15:16:59.241, 0 %, 67.49 W, 28839 MiB
2026/09/15 15:17:00.242, 1 %, 67.39 W, 28839 MiB
2026/09/15 15:17:01.242, 1 %, 67.35 W, 28847 MiB
2026/09/15 15:17:02.243, 0 %, 67.43 W, 28847 MiB
2026/09/15 15:17:03.244, 1 %, 67.27 W, 28847 MiB
2026/09/15 15:17:04.245, 1 %, 67.35 W, 28847 MiB
2026/09/15 15:17:05.246, 0 %, 67.32 W, 28842 MiB
2026/09/15 15:17:06.247, 0 %, 67.30 W, 28842 MiB
2026/09/15 15:17:07.247, 0 %, 66.53 W, 28842 MiB
2026/09/15 15:17:08.247, 0 %, 66.97 W, 28842 MiB
2026/09/15 15:17:09.248, 5 %, 67.76 W, 28843 MiB
2026/09/15 15:17:10.248, 1 %, 67.29 W, 28843 MiB
2026/09/15 15:17:11.249, 0 %, 67.23 W, 28844 MiB
2026/09/15 15:17:12.249, 1 %, 66.96 W, 28844 MiB
2026/09/15 15:17:13.249, 1 %, 67.29 W, 28844 MiB
2026/09/15 15:17:14.250, 0 %, 67.50 W, 28843 MiB
2026/09/15 15:17:15.250, 5 %, 68.55 W, 28840 MiB
2026/09/15 15:17:16.251, 1 %, 67.36 W, 28840 MiB
2026/09/15 15:17:17.251, 0 %, 67.03 W, 28840 MiB
2026/09/15 15:17:18.252, 0 %, 67.56 W, 28840 MiB
2026/09/15 15:17:19.252, 0 %, 67.09 W, 28840 MiB
2026/09/15 15:17:20.253, 3 %, 67.34 W, 28840 MiB
2026/09/15 15:17:21.254, 1 %, 68.30 W, 28840 MiB
2026/09/15 15:17:22.255, 1 %, 68.22 W, 28840 MiB
2026/09/15 15:17:23.256, 1 %, 67.46 W, 28840 MiB
2026/09/15 15:17:24.256, 0 %, 67.90 W, 28839 MiB
2026/09/15 15:17:25.257, 1 %, 67.68 W, 28848 MiB
2026/09/15 15:17:26.257, 1 %, 67.17 W, 28848 MiB
2026/09/15 15:17:27.257, 5 %, 67.27 W, 28848 MiB
2026/09/15 15:17:28.257, 4 %, 67.94 W, 28848 MiB
