15:40:56,2461,6
15:41:11,2443,6
15:41:26,2444,5
15:41:42,2508,4
15:41:57,2449,5
15:42:13,2559,2
15:42:29,20833,95
15:42:44,21418,98
15:42:59,19381,25
15:43:14,20061,94
15:43:29,20215,86
15:43:45,19382,25
15:44:00,19382,26
15:44:15,19382,25
15:44:30,19382,85
15:44:45,19382,28
15:45:00,19382,25
15:45:16,19382,28
15:45:31,19382,28
15:45:46,21070,80
15:46:01,21070,83
15:46:16,21070,83
15:46:32,21070,82
15:46:47,21070,84
15:47:02,21070,84
15:47:17,21070,85
15:47:32,21070,83
15:47:47,21070,70
15:48:02,21070,83
15:48:18,21070,84
15:48:33,21070,84
15:48:48,21592,99
15:49:03,19382,27
15:49:18,26072,97
15:49:33,26072,98
15:49:49,26072,100
15:50:04,26072,100
15:50:19,26072,100
15:50:34,19414,19
15:50:49,25208,98
15:51:04,19414,26
15:51:20,19744,88
15:51:35,20434,99
15:51:50,19382,26
15:52:05,2541,2
15:52:20,20816,96
15:52:35,22068,98
15:52:51,19382,26
15:53:06,19382,26
15:53:21,19382,8
15:53:36,19382,24
15:53:51,19752,3
15:54:06,19382,29
15:54:22,19382,36
15:54:37,2972,2
15:54:52,19382,25
15:55:07,19472,2
15:55:22,2544,3
15:55:37,21072,80
15:55:53,21072,85
15:56:08,21072,83
15:56:23,21072,83
15:56:38,21072,85
15:56:53,21072,86
15:57:08,21072,85
15:57:24,21072,85
15:57:39,21072,80
15:57:54,21073,80
15:58:09,21073,82
15:58:24,2974,2
15:58:39,19384,4
15:58:55,19384,28
15:59:10,26074,99
15:59:25,26074,99
15:59:40,26074,100
15:59:55,26074,99
16:00:10,19384,81
16:00:26,19416,30
16:00:41,19416,19
16:00:56,19416,24
16:01:11,19306,24
16:01:26,20358,99
16:01:41,25099,58
16:01:56,2464,4
16:02:12,2464,4
16:02:27,2464,2
16:02:42,2464,2
16:02:57,2464,2
16:03:12,2464,2
16:03:27,2464,3
16:03:43,2464,3
16:03:58,2464,4
16:04:13,2464,3
16:04:28,2464,2
16:04:43,2464,2
16:04:58,2464,3
16:05:13,2464,3
16:05:29,2464,4
16:05:44,2464,3
16:05:59,2464,2
16:06:14,2464,2
16:06:29,2464,2
16:06:44,2464,2
16:07:00,2464,2
16:07:15,2464,2
16:07:30,2464,2
16:07:45,2464,2
16:08:00,2444,2
16:08:15,2441,2
16:08:31,2441,2
16:08:46,2441,2
16:09:01,2441,2
16:09:16,2441,2
16:09:31,2441,2
16:09:46,2441,2
16:10:01,2445,2
16:10:17,2434,2
16:10:32,2434,2
16:10:47,2434,2
16:11:02,2434,2
16:11:17,2434,2
16:11:32,2434,2
16:11:48,2434,2
16:12:03,2434,2
16:12:18,2434,2
16:12:33,2434,2
16:12:48,2434,2
16:13:03,2434,2
16:13:18,2434,2
16:13:34,2434,1
16:13:49,2434,2
16:14:04,2434,2
16:14:19,2434,2
16:14:34,2434,2
16:14:49,2434,2
16:15:04,2434,2
16:15:20,2434,2
16:15:35,2434,2
16:15:50,2434,2
16:16:05,2434,1
16:16:20,2434,2
16:16:35,2434,2
16:16:50,2434,2
16:17:06,2434,2
16:17:21,2434,2
16:17:36,2434,2
16:17:51,2434,2
16:18:06,2434,2
16:18:21,2434,2
16:18:37,2434,2
16:18:52,2434,2
16:19:07,2434,1
16:19:22,2434,2
16:19:37,2434,2
16:19:52,2434,2
16:20:07,2434,2
16:20:23,2434,2
16:20:38,2434,2
16:20:53,2434,1
16:21:08,2636,5
16:21:23,2476,2
16:21:38,2456,2
16:21:53,2457,2
16:22:09,2457,2
16:22:24,2457,2
16:22:39,2456,2
16:22:54,2451,2
16:23:09,2507,12
16:23:24,2535,7
16:23:40,2515,1
16:23:55,2570,7
16:24:10,2561,6
